phrase,language,category
Tier Trans,de,sex
Tier Homo,de,sex
Tier Schwul,de,sex
Tier Lesbisch,de,sex
Psyche Trans,de,sex
Psyche Homo,de,sex
Psyche Schwul,de,sex
Psyche Lesbisch,de,sex
